Designator	MPN	Qty	Link
C1,C50	C0603C103K9RAC7867	2	https://api.kemet.com/component-edge/download/datasheet/C0603C103K9RACTU.pdf
C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C30,C44	CGB3B3X7R0J105K055AB	12	
C8,C9,C10,C22,C23,C33,C34,C35,C36,C37,C38,C39,C46,C47,C54,C56,C57	C0603C104K4RAC7867	17	https://api.kemet.com/component-edge/download/datasheet/C0603C104K4RACTU.pdf
C25,C27	0603N131J500CT	2	http://www.passivecomponent.com/wp-content/uploads/datasheet/WTC_MLCC_General_Purpose.pdf
C26,C32	VJ0603D181JXJQJHT	2	https://www.vishay.com/docs/45239/vjhifreqht.pdf
C11,C28,C40,C53,C29,C49,C51,C52	CL10A106KQ8NNNC	8	//media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL10A106KQ8NNNC_Spec.pdf
C24,C31	0603N621J500CT	2	http://www.passivecomponent.com/wp-content/uploads/datasheet/WTC_MLCC_General_Purpose.pdf
C41,C42,C43	0603B102K500CT	3	http://www.passivecomponent.com/wp-content/uploads/datasheet/WTC_MLCC_General_Purpose.pdf
C45	10SEV100M6.3X5.5	1	https://www.rubycon.co.jp/wp-content/uploads/catalog-aluminum/SEV.pdf
C48	EEE-FN0J152P	1	https://b2b-api.panasonic.eu/file_stream/pids/fileversion/9127
C2,C3,C4,C5	C0603C474K8RAC7867	4	https://api.kemet.com/component-edge/download/datasheet/C0603C474K8RACTU.pdf
C55	C0603C104K3RAC7082	1	https://api.kemet.com/component-edge/download/datasheet/C0603C104K3RAC7082.pdf
C58,C59,C60,C61	C0603C224K9RAC7867	4	https://api.kemet.com/component-edge/download/datasheet/C0603C224K9RACTU.pdf
C6,C7	0603B472K500CT	2	http://www.passivecomponent.com/wp-content/uploads/datasheet/WTC_MLCC_General_Purpose.pdf
D1	CDBA340-HF	1	//media.digikey.com/pdf/Data%20Sheets/Comchip%20PDFs/CDBA340-HF_Thru_CDBA3100-HF_RevB.pdf
D2	MBR0520L-TP	1	https://www.mccsemi.com/pdf/Products/MBR0520L-MBR0540L(SOD-123).pdf
L1,L2,L5,L6	CS160808-R47K	4	https://www.bourns.com/docs/Product-Datasheets/CS160808.pdf
L3,L7	MLF1608A1R5JTD25	2	
L4	CS160808-R56K	1	https://www.bourns.com/docs/Product-Datasheets/CS160808.pdf
R1	CRCW0603300RFKEA	1	https://www.vishay.com/docs/20035/dcrcwe3.pdf
R9,R10,R11,R12,R13,R14,R17,R18,R19,R23,R25,R27,R28	CR0603-FX-1002ELF	13	https://www.bourns.com/docs/product-datasheets/cr.pdf?sfvrsn=574d41f6_14
R15	CRCW0603330RFKEB	1	https://www.vishay.com/docs/20035/dcrcwe3.pdf
R2	CRCW0603200RFKTA	1	https://www.vishay.com/docs/20008/dcrcw.pdf
R16,R20	CRCW06031K00FKEC	2	https://www.vishay.com/docs/20035/dcrcwe3.pdf
R21,R22	CRCW06033K90FKEA	2	https://www.vishay.com/docs/20035/dcrcwe3.pdf
R24,R26	CRCW060320K0FKEC	2	https://www.vishay.com/docs/20035/dcrcwe3.pdf
R3,R4,R7,R8,R29,R30,R31,R32,R33,R34	CRCW060349R9FKTA	10	https://www.vishay.com/docs/20008/dcrcw.pdf
R35	CRCW06031R00FNEB	1	https://www.vishay.com/docs/20035/dcrcwe3.pdf
R5,R6	CRCW060330K1FKEA	2	https://www.vishay.com/docs/20035/dcrcwe3.pdf
U10	SGTL5000XNAA3	1	https://www.nxp.com/docs/en/data-sheet/SGTL5000.pdf
U11	LD1117S33TR	1	https://www.st.com/content/ccc/resource/technical/document/datasheet/99/3b/7d/91/91/51/4b/be/CD00000544.pdf/files/CD00000544.pdf/jcr:content/translations/en.CD00000544.pdf
U12	LM317MBSTT3G	1	https://www.onsemi.com/pdf/datasheet/lm317m-d.pdf
U1,U2	SN74CBT3253CD	2	https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fsn74cbt3253c
U3	SI5351A-B-GTR	1	https://www.skyworksinc.com/-/media/Skyworks/SL/documents/public/data-sheets/Si5351-B.pdf
U4	OPA1602AID	1	https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fopa1602
U5,U7	TLV2462CDR	2	https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Ftlv2462a
U8	AP7313-18SAG-7	1	https://www.diodes.com/assets/Datasheets/AP7313.pdf
U9	CAT24C128WI-GT3	1	https://www.onsemi.com/pdf/datasheet/cat24c128-d.pdf
Y1	ABM8W-25.0000MHZ-8-B1U-T3	1	https://abracon.com/Resonators/ABM8W.pdf